,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Sabha,88,LY,1604691557,41,27.04,14.43,63.88,8.23
375,Krasnosel'kup,100,RU,1604691789,98,65.7,82.47,25.32,15.77
376,Waingapu,8,ID,1604691791,72,-9.66,120.26,79.75,1.88
377,Qaqortoq,90,GL,1604691792,86,60.72,-46.03,26.6,3.36
378,Pitimbu,40,BR,1604691793,74,-7.47,-34.81,82.4,14.99
379,Half Moon Bay,20,US,1604691510,58,37.46,-122.43,60.8,16.11
380,Derzhavīnsk,50,KZ,1604691795,58,51.1,66.32,40.89,15.7
381,Naze,40,JP,1604691796,100,28.37,129.48,77.0,5.82
382,Barabai,36,ID,1604691798,91,-2.58,115.38,71.78,0.65
383,Hong Kong,85,HK,1604691757,60,22.29,114.16,77.0,10.0
384,Kushiro,93,JP,1604691800,74,42.98,144.37,55.26,18.57
385,Vangaindrano,97,MG,1604691801,85,-23.35,47.6,73.18,9.24
386,Araucária,20,BR,1604691596,52,-25.59,-49.41,69.8,10.29
387,Spearfish,1,US,1604691804,21,44.49,-103.86,72.0,8.05
388,Mackay,81,AU,1604691805,83,-21.15,149.2,75.2,1.12
389,Pereira Barreto,0,BR,1604691806,23,-20.64,-51.11,91.26,9.37
390,Luwuk,100,ID,1604691808,73,-0.95,122.79,78.13,3.85
391,Stuttgart,40,DE,1604691609,93,48.78,9.18,41.0,4.7
392,Zeya,100,RU,1604691811,95,53.75,127.27,20.86,2.59
393,Kaitangata,5,NZ,1604691812,70,-46.28,169.85,54.0,8.01
394,Tromsø,75,NO,1604691814,70,69.65,18.96,42.8,27.51
395,Ushtobe,0,KZ,1604691815,74,45.25,77.98,36.41,1.57
396,Río Gallegos,20,AR,1604691681,38,-51.62,-69.22,59.0,23.04
397,Puerto Escondido,75,MX,1604691818,74,15.85,-97.07,86.0,5.82
398,Fairbanks,90,US,1604691604,92,64.84,-147.72,18.0,1.12
399,Briançon,0,FR,1604691820,85,44.9,6.65,48.99,2.06
400,Butembo,99,CD,1604691821,99,0.15,29.28,59.05,2.57
401,Nikšić,0,ME,1604691771,76,42.77,18.94,62.6,2.24
402,Boulder,1,US,1604691725,18,40.08,-105.35,72.0,3.85
403,Sovetskiy,100,RU,1604691825,95,61.36,63.58,35.19,7.49
404,Ust-Nera,100,RU,1604691826,84,64.57,143.2,-0.8,5.59
405,Vredefort,76,ZA,1604691827,38,-27.01,27.36,69.3,6.17
406,Xifeng,96,CN,1604691828,66,42.74,124.72,40.64,6.31
407,Pedra Azul,95,BR,1604691829,87,-16.01,-41.3,73.67,3.51
408,Itacarambi,85,BR,1604691830,54,-15.1,-44.09,85.6,1.83
409,Pierre,1,US,1604691700,23,44.37,-100.35,75.2,6.93
410,Venice of the Philippines,89,PH,1604691833,79,4.66,119.39,82.13,11.99
411,Malinovskiy,100,RU,1604691834,95,61.2,62.84,35.24,6.67
412,Yenagoa,52,NG,1604691835,92,4.92,6.26,77.38,4.54
413,Srednekolymsk,100,RU,1604691836,93,67.45,153.68,2.43,10.25
414,Lamu,1,KE,1604691837,78,-2.27,40.9,78.8,3.36
415,Vihti,1,FI,1604691839,87,60.42,24.32,50.0,8.01
416,Victor Harbor,45,AU,1604691840,81,-35.57,138.62,55.0,8.59
417,Eureka,73,US,1604691841,32,40.8,-124.16,53.01,3.0
418,San Vicente,0,AR,1604691842,16,-26.62,-54.13,88.48,1.7
419,Tokur,82,RU,1604691843,95,53.13,132.9,7.34,2.13
420,Cabra,20,ES,1604691844,77,37.47,-4.44,66.2,10.29
421,Miki,100,JP,1604691846,100,34.8,134.98,62.01,4.5
422,Narsaq,90,GL,1604691847,86,60.92,-46.05,26.6,3.36
423,Miyako,13,JP,1604691848,60,39.64,141.95,51.94,7.99
424,Burns Lake,90,CA,1604691849,74,54.23,-125.75,30.2,4.7
425,Zheleznodorozhnyy,40,RU,1604691803,73,55.75,38.0,70.97,20.13
426,Kavaratti,14,IN,1604691851,74,10.57,72.64,82.72,5.3
427,Esso,72,RU,1604691852,89,55.93,158.7,12.92,3.74
428,Mana,6,GF,1604691853,82,5.66,-53.78,81.21,9.95
429,Mezen',99,RU,1604691854,94,65.85,44.24,36.41,4.5
430,Tilichiki,28,RU,1604691855,92,60.47,166.1,26.89,6.31
431,Parabel',100,RU,1604691856,94,58.7,81.48,34.12,7.76
432,Severnyy,0,RU,1604691858,87,50.68,36.55,44.1,15.66
433,Cayenne,80,GF,1604691859,100,4.93,-52.33,75.2,3.36
434,Pangnirtung,90,CA,1604691860,67,66.15,-65.71,17.6,3.62
435,Honghu,0,CN,1604691861,75,29.82,113.46,58.37,2.77
436,Florianópolis,0,BR,1604691856,56,-27.61,-48.5,73.99,12.75
437,Porto-Novo,40,BJ,1604691863,83,6.5,2.6,84.2,10.29
438,Geraldton,0,AU,1604691864,72,-28.77,114.6,66.2,6.93
439,Bilma,0,NE,1604691866,24,18.69,12.92,68.49,4.16
440,Muswellbrook,4,AU,1604691868,88,-32.27,150.9,52.07,0.74
441,Syracuse,0,IT,1604691869,77,37.09,15.28,64.4,3.36
442,Awjilah,88,LY,1604691870,58,29.11,21.29,69.01,8.3
443,Faya,3,SA,1604691871,82,18.39,42.45,60.8,4.7
444,Fort Nelson,40,CA,1604691872,84,58.81,-122.7,1.4,5.82
445,Glendive,1,US,1604691819,50,47.11,-104.71,53.6,12.75
446,Arrondissement de Carcassonne,90,FR,1604691874,87,43.25,2.17,64.0,23.04
447,Greenville,40,US,1604691875,77,35.61,-77.37,71.01,4.7
448,Marzuq,1,YE,1604691876,56,14.4,46.47,63.32,3.31
449,Hervey Bay,100,AU,1604691877,82,-25.3,152.85,64.0,5.82
450,Manggar,100,ID,1604691879,83,-2.88,108.27,78.62,2.51
451,Guibéroua,100,CI,1604691880,97,6.24,-6.17,74.37,3.83
452,Ocampo,0,MX,1604691881,28,21.65,-101.5,65.57,9.44
453,Cap Malheureux,2,MU,1604691882,71,-19.98,57.61,71.01,4.0
454,Santa Lucía,40,ES,1604691883,68,27.91,-15.54,71.6,12.75
455,Boa Vista,40,BR,1604691884,41,2.82,-60.67,95.0,4.7
456,Kiunga,80,PG,1604691885,98,-6.12,141.29,72.72,0.69
457,Wenling,98,CN,1604691886,72,28.37,121.36,69.01,7.87
458,Tevaitoa,100,PF,1604691887,78,-16.78,-151.5,80.31,19.77
459,Lufilufi,75,WS,1604691889,66,-13.87,-171.6,86.0,15.79
460,Hualmay,11,PE,1604691890,65,-11.1,-77.61,68.32,9.28
461,Talnakh,0,RU,1604691891,77,69.49,88.4,3.2,11.18
462,Mugur-Aksy,21,RU,1604691892,88,50.35,90.5,21.2,5.3
463,Tulun,75,RU,1604691893,96,54.56,100.58,14.09,0.78
464,Uyuni,2,BO,1604691895,22,-20.46,-66.83,65.57,13.29
465,Lorengau,98,PG,1604691896,79,-2.02,147.27,80.76,7.67
466,Cañon City,1,US,1604691897,14,38.44,-105.24,75.2,18.34
467,Vanimo,95,PG,1604691898,83,-2.67,141.3,76.95,4.12
468,Kristiansund,20,NO,1604691899,62,63.11,7.73,51.8,25.28
469,Mossamedes,3,AO,1604691901,56,-15.2,12.15,72.99,11.5
470,Chicama,12,PE,1604691902,77,-7.84,-79.15,66.2,11.41
471,Vytegra,100,RU,1604691903,78,61.01,36.45,40.39,14.81
472,Kaeo,100,NZ,1604691905,93,-35.1,173.78,64.99,7.0
473,Beringovskiy,17,RU,1604691906,88,63.05,179.32,29.8,14.61
474,La Mira,52,MX,1604691907,64,18.04,-102.33,84.58,7.9
475,Ust-Tsilma,100,RU,1604691908,97,65.44,52.15,35.8,3.15
476,Lata,100,PT,1604691909,90,40.16,-8.33,59.0,3.91
477,Urengoy,100,RU,1604691910,97,65.97,78.37,32.9,10.29
478,Prieska,100,ZA,1604691912,30,-29.66,22.75,73.6,13.04
479,Hirara,38,JP,1604691913,89,24.8,125.28,78.84,11.72
480,Douglas,1,US,1604691678,38,41.3,-96.17,77.0,11.41
481,Garissa,1,KE,1604691915,64,-0.45,39.64,79.5,15.68
482,Yüksekova,90,TR,1604691916,100,37.57,44.29,44.6,4.7
483,Kuito,53,AO,1604691917,77,-12.38,16.93,64.99,5.17
484,Manicoré,52,BR,1604691919,49,-5.81,-61.3,91.76,2.62
485,Visnes,2,NO,1604691920,93,59.36,5.22,41.0,3.36
486,Walvis Bay,96,NA,1604691921,82,-22.96,14.51,60.8,9.17
487,Haines Junction,100,CA,1604691923,77,60.75,-137.51,1.4,1.12
488,Dhārchula,0,IN,1604691924,43,29.85,80.53,51.1,4.03
489,Margate,2,GB,1604691926,63,51.38,1.39,53.01,3.0
490,Arrondissement de Morlaix,0,FR,1604691927,81,48.58,-4.0,55.4,11.41
491,Alakurtti,9,RU,1604691929,90,66.97,30.35,34.0,7.0
492,Shakhta,100,RU,1604691930,100,59.09,57.65,36.0,7.05
493,Henties Bay,0,NA,1604691931,91,-22.12,14.28,60.01,3.0
494,Tazovsky,94,RU,1604691933,97,67.47,78.7,14.94,15.39
495,Caniço,20,PT,1604691934,55,32.63,-16.85,64.4,5.82
496,Broome,1,US,1604691935,39,42.25,-75.83,66.99,6.93
497,Port Moresby,75,PG,1604691937,100,-9.44,147.18,75.2,6.93
498,Jalu,83,LY,1604691938,53,29.03,21.55,68.2,6.93
499,Port Hedland,0,AU,1604691939,83,-20.32,118.57,77.0,8.05
500,Novo Horizonte,0,BR,1604691940,25,-21.47,-49.22,86.81,11.16
501,Kargasok,100,RU,1604691941,95,59.06,80.86,34.11,7.78
502,Auki,66,SB,1604691943,79,-8.77,160.7,78.71,4.05
503,Rancho Palos Verdes,40,US,1604691720,73,33.74,-118.39,73.0,6.93
504,Shache,0,CN,1604691945,86,38.42,77.24,32.32,2.04
505,Craigieburn,75,AU,1604691778,76,-37.6,144.95,51.8,10.29
506,Nelson Bay,40,AU,1604691947,93,-32.72,152.15,55.99,6.93
507,Muisne,20,EC,1604691948,70,0.6,-80.03,84.2,10.29
508,Uauá,15,BR,1604691949,38,-9.84,-39.48,87.62,14.81
509,Vargem Grande,100,BR,1604691950,79,-3.54,-43.92,81.82,3.29
510,Maceió,40,BR,1604691944,70,-9.67,-35.74,84.2,13.87
511,Cañete,0,CL,1604691953,56,-37.8,-73.4,61.86,10.27
512,Mukhen,100,RU,1604691954,98,48.1,136.1,32.05,1.32
513,Mattru,100,SL,1604691955,95,7.62,-11.83,76.35,4.68
514,Boyolangu,77,ID,1604691956,88,-8.12,111.89,76.41,4.59
515,Concepción de Guasistagua,75,HN,1604691957,94,14.6,-87.65,77.0,12.75
516,Yārāda,0,IN,1604691958,83,17.65,83.27,78.8,2.24
517,Tura,0,IN,1604691959,91,25.52,90.22,62.6,4.21
518,Cantaura,59,VE,1604691961,57,9.31,-64.36,87.03,4.43
519,Maïné Soroa,0,NE,1604691962,19,13.21,12.02,76.33,8.19
520,Utiel,100,ES,1604691963,87,39.57,-1.2,60.01,15.01
521,Araguaçu,100,BR,1604691964,40,-12.93,-49.83,91.85,2.17
522,Bundoran,0,IE,1604691965,81,54.48,-8.28,44.6,3.36
523,Port Antonio,75,JM,1604691966,74,18.18,-76.46,84.2,12.75
524,Egvekinot,100,RU,1604691968,99,66.32,-179.17,27.39,7.65
525,Mādārīpur,0,BD,1604691969,71,23.18,90.21,66.88,6.73
526,Sattahip,20,TH,1604691970,74,12.67,100.9,78.8,6.93
527,Sept-Îles,98,CA,1604691919,79,50.2,-66.38,39.2,3.36
528,Lakselv,75,NO,1604691972,70,70.05,24.97,42.8,51.67
529,Leshukonskoye,96,RU,1604691973,96,64.9,45.76,35.28,5.99
530,Chu,0,KZ,1604691974,52,43.6,73.76,44.56,7.47
531,Pilar,40,BR,1604691976,70,-9.6,-35.96,84.2,13.87
532,Norsup,75,VU,1604691977,94,-16.07,167.38,75.2,7.31
533,Bunia,86,CD,1604691978,90,1.57,30.25,63.54,1.45
534,Areosa,20,PT,1604691979,87,41.72,-8.86,60.01,4.7
535,Camacha,40,PT,1604691981,68,33.08,-16.33,64.4,13.87
536,Arrondissement de Lure,0,FR,1604691982,81,47.75,6.5,48.2,10.29
537,Watertown,1,US,1604691983,33,42.37,-71.18,73.4,10.29
538,Ţahţā,0,EG,1604691984,52,26.77,31.5,66.2,8.05
539,Nuuk,90,GL,1604691985,73,64.18,-51.72,23.0,19.46
540,Nantucket,1,US,1604691821,88,41.28,-70.1,62.6,11.41
541,Camaná,63,PE,1604691988,68,-16.62,-72.71,67.06,7.14
542,Kungälv,0,SE,1604691989,93,57.87,11.98,54.0,7.94
543,Isangel,0,VU,1604691990,71,-19.55,169.27,80.62,2.77
544,Berlevåg,0,NO,1604691991,87,70.86,29.09,37.4,19.46
545,Ayan,0,RU,1604691993,86,56.45,138.17,17.55,15.68
546,Sorong,100,ID,1604691994,85,-0.88,131.25,79.05,10.22
547,Rio Verde de Mato Grosso,0,BR,1604691996,19,-18.92,-54.84,95.61,3.15
548,Valparaíso,0,CL,1604691997,49,-33.04,-71.63,69.8,6.93
549,Tres Arroyos,88,AR,1604691998,46,-38.37,-60.28,74.17,8.99
550,Hay River,99,CA,1604691999,78,60.82,-115.8,12.2,9.17
551,Pangai,40,TO,1604692000,69,-19.8,-174.35,77.0,11.41
552,Barguzin,91,RU,1604692002,87,53.62,109.62,15.37,8.79
553,Atar,100,MR,1604692003,17,20.52,-13.05,89.31,7.02
554,Vila Velha,90,BR,1604692004,83,-20.33,-40.29,77.0,14.99
555,Ondjiva,57,AO,1604692005,19,-17.07,15.73,80.83,3.94
556,Chiredzi,0,ZW,1604692006,63,-21.05,31.67,82.33,6.13
557,Saint-Pierre,0,RE,1604692008,73,-21.34,55.48,73.4,16.11
558,The Valley,20,AI,1604692009,66,18.22,-63.06,86.0,14.99
559,Bāsudebpur,0,IN,1604692010,57,21.14,86.74,68.67,4.09
560,Flinders,88,AU,1604691981,86,-34.58,150.86,59.0,1.01
561,Ahtopol,0,BG,1604692013,87,42.1,27.95,48.0,1.12
562,Bara,0,NG,1604692014,24,10.37,10.73,77.68,6.8
563,Acapulco de Juárez,40,MX,1604691746,70,16.86,-99.89,86.0,8.05
564,Iracoubo,98,GF,1604692016,80,5.48,-53.2,81.43,9.22
565,Cotonou,40,BJ,1604691746,83,6.37,2.42,84.2,10.29
566,Aswān,14,EG,1604692019,41,24.09,32.91,67.89,11.3
567,Gamba,100,GA,1604692021,90,-2.65,10.0,77.72,4.56
568,Dayong,75,CN,1604692022,65,25.02,118.29,78.8,2.24
569,That Phanom,99,TH,1604692023,76,16.94,104.71,71.4,5.48
570,Nyimba,0,ZM,1604692025,20,-14.56,30.81,83.95,8.39
571,Manokwari,100,ID,1604692026,74,-0.87,134.08,81.09,6.44
572,Zamora,40,EC,1604692027,27,-4.07,-78.96,91.4,14.99
573,Luanda,40,AO,1604692028,83,-8.84,13.23,78.8,9.17
574,Nishihara,20,JP,1604692030,100,26.18,127.76,77.0,3.36
575,Ahlat,0,TR,1604692031,74,38.75,42.48,43.18,3.76
576,Dudinka,0,RU,1604692033,77,69.41,86.18,3.2,11.18
577,Surskoye,66,RU,1604692034,85,54.48,46.72,39.24,9.06
578,Vyaz'ma,34,RU,1604691938,81,55.21,34.3,39.43,11.3
579,Yarmouth,1,US,1604692036,68,41.71,-70.23,64.4,16.11
